19,Lifestyle,Food & Drink,Book a table at new restaurants,"Your assistant will identify top new eateries, managing reservations, organizing transport, and coordinating line-waiting services as required.",https://playbooks.athena.com/lifestyle/new-restaurants
20,Lifestyle,Food & Drink,Find the right meal kit,"Your EA will translate your culinary preferences into a series of recommendations for meal kit providers, and can even choose the menu items you’ll receive based on your family’s specific tastes.",https://playbooks.athena.com/lifestyle/meal-kits
21,Lifestyle,Arts & Leisure,Hand-picked books and podcasts,"Your assistant assesses your preferences to tailor book and podcast recommendations, supplementing with insights from your personal network for a bespoke selection.",https://playbooks.athena.com/lifestyle/media-makeover
22,Lifestyle,Arts & Leisure,Discover new music,Grant your assistant access to your streaming services; they'll curate fresh artist recommendations for your listening pleasure.,https://playbooks.athena.com/lifestyle/listening-habits
23,Health,Exercise,Prioritize exercising regularly,"Your assistant will instill the habits needed for workout success and secure daily time for effective exercise, at the gym, with a trainer, or at home.",https://playbooks.athena.com/health/workout-plan
24,Health,Wellness,Auto-renew prescriptions,Your assistant ensures a consistent supply of your necessary prescriptions without interruption.,https://playbooks.athena.com/health/prescription-renewal,Jonathan Swanson / Ace Padua,https://playbooks.athena.com/authors/jonathan-swanson,Jonathan Swanson,https://playbooks.athena.com/authors/ace-padua,Ace Padua
25,Health,Nutrition,Track your macros,"Your assistant becomes your dietary accountability partner, ensuring progress.",https://playbooks.athena.com/health/tracking-food
26,Health,Wellness,Book an annual wellness sweep,"Your assistant schedules healthcare visits, alerts you to overdue check-ups, assists in provider selection, and compiles your health records for easy access.",https://playbooks.athena.com/health/wellness-sweep
27,Health,Wellness,Organize your health records,Your assistant compiles a comprehensive health inventory for efficient provider consultation.,https://playbooks.athena.com/health/health-records,Jonathan Swanson / Marni Añonuevo,https://playbooks.athena.com/authors/jonathan-swanson,Jonathan Swanson,https://playbooks.athena.com/authors/marni-anonuevo,Marni Añonuevo
28,Fulfillment,Learning,Find a personal tutor,"My assistant sourced a machine learning PhD to establish a Telegram tutoring channel for myself and five entrepreneurs, providing direct access to expert guidance without the need for formal classes.",https://playbooks.athena.com/fulfillment/async-tutor,Jonathan Swanson / Marni Añonuevo,https://playbooks.athena.com/authors/jonathan-swanson,Jonathan Swanson,https://playbooks.athena.com/authors/marni-anonuevo,Marni Añonuevo
29,Fulfillment,Productivity,10-second accountability check-ins,"My assistant conducts daily goal progress check-ins via WhatsApp and provides a weekly performance summary. This delegation strategy has proven highly effective, especially when paired with a colleague or friend.",https://playbooks.athena.com/fulfillment/accountability-partner,Jonathan Swanson / Marni Añonuevo,https://playbooks.athena.com/authors/jonathan-swanson,Jonathan Swanson,https://playbooks.athena.com/authors/marni-anonuevo,Marni Añonuevo
30,Fulfillment,Learning,Master a new language,Your assistant connects you with a top tutor to refine your language skills for confident communication.,https://playbooks.athena.com/fulfillment/new-language
31,Relationships,Family,Showcase your digital photos,"I worked with my assistant to create personalized albums for anyone I want, with little more than a voice note. Here’s how it works.",https://playbooks.athena.com/relationships/photo-albums,Jonathan Swanson / Marni Añonuevo,https://playbooks.athena.com/authors/jonathan-swanson,Jonathan Swanson,https://playbooks.athena.com/authors/marni-anonuevo,Marni Añonuevo
32,Relationships,Family,Auto-send hand-written postcards,"Your assistant creates and sends custom postcards from your photos, mimicking your handwriting for a personal touch.",https://playbooks.athena.com/relationships/personalized-postcards,Jonathan Swanson / Marni Añonuevo,https://playbooks.athena.com/authors/jonathan-swanson,Jonathan Swanson,https://playbooks.athena.com/authors/marni-anonuevo,Marni Añonuevo
33,Relationships,Partner,Sleep training support,"Your most trusted EA—you will need more than one for this to work—becomes an extra set of eyes and ears during their shift, observing your little one’s crib and letting you sleep through most routine wake-ups, only alerting you when it’s urgent.",https://playbooks.athena.com/relationships/night-nanny,Jonathan Swanson / Ace Padua,https://playbooks.athena.com/authors/jonathan-swanson,Jonathan Swanson,https://playbooks.athena.com/authors/ace-padua,Ace Padua
34,Relationships,Family,Always-on occasion reminders,"Your assistant creates a tailored calendar highlighting key dates and manages celebratory gestures on your behalf. Sends reminders and coordinates gift or greeting deliveries, minimizing your effort.",https://playbooks.athena.com/relationships/remember-every-milestone
35,Relationships,Partner,Stress-free date nights,"Your assistant orchestrates standout dates, handling every detail for any occasion.",https://playbooks.athena.com/relationships/plan-date-night
